Question,Answer
වී වගාවට හානිකර කෘමින් කවුද?,"හානිකර කෘමින් අතර පැළ මැක්කා (Thrips), ගොක් මැස්සා (Rice Gall Midge), කොළ හකුලන දළඹුවා (Rice Leaf Folder), දුඹුරු පැළ කීඩෑවා (Brown Plant Hopper), පුරුක් පණුවා (stem borer), ගොයම් මකුණා (Rice Bug) වැනි කෘමින් වේ."
වී වගාවට හානිකර කෘමි සතුන් කවුද?,"හානිකර කෘමින් අතර පැළ මැක්කා (Thrips), ගොක් මැස්සා (Rice Gall Midge), කොළ හකුලන දළඹුවා (Rice Leaf Folder), දුඹුරු පැළ කීඩෑවා (Brown Plant Hopper), පුරුක් පණුවා (stem borer), ගොයම් මකුණා (Rice Bug) වැනි කෘමින් වේ."
වී ගොවිතැනට කෘමි සතුන් කවුද?,"හානිකර කෘමින් අතර පැළ මැක්කා (Thrips), ගොක් මැස්සා (Rice Gall Midge), කොළ හකුලන දළඹුවා (Rice Leaf Folder), දුඹුරු පැළ කීඩෑවා (Brown Plant Hopper), පුරුක් පණුවා (stem borer), ගොයම් මකුණා (Rice Bug) වැනි කෘමින් වේ."
ගොයම් වලට හානිකර කෘමි සතුන් කවුද?,"හානිකර කෘමින් අතර පැළ මැක්කා (Thrips), ගොක් මැස්සා (Rice Gall Midge), කොළ හකුලන දළඹුවා (Rice Leaf Folder), දුඹුරු පැළ කීඩෑවා (Brown Plant Hopper), පුරුක් පණුවා (stem borer), ගොයම් මකුණා (Rice Bug) වැනි කෘමින් වේ."
ගොවීන් සහල් පිපිරුම් රෝගය වළක්වා ගන්නේ කෙසේද?,"සහල් පිපිරුම් රෝගය වළක්වා ගැනීම සඳහා ගොවීන්ට සංයුක්ත කළමනාකරණ ක්‍රම භාවිතා කළ යුතුය. ප්‍රතිරෝධක වී ප්‍රභේද භාවිතා කිරීමෙන් රෝගයට එරෙහිව ශාක වල ශක්තිය වැඩි කරයි. නිවැරදි පොහොර කළමනාකරණය (විශේෂයෙන් නයිට්‍රජන් පොහොර අධික ලෙස යෙදීම වළක්වා ගැනීම) මගින් රෝගයේ අවධානම අඩු කරයි. ශාක අතර නිසි පරතරයක් පවත්වා ගැනීම සහ වාතාශ්‍රය වැඩි දියුණු කිරීම මගින් රෝගය පැතිරීම අවම කරයි. කාබනික පොහොර සහ ජෛව පාලන ක්‍රම භාවිතා කිරීමෙන් පාංශුවල සෞඛ්යය සහ ශාක වල ප්‍රතිරෝධක ශක්තිය වැඩි කරයි. රෝගයේ ලක්ෂණ හඳුනා ගෙන, කාලෝචිත රසායනික ප්‍රතිකාර භාවිතා කිරීම මගින්ද රෝගය පාලනය කළ හැකිය."
වී සඳහා නිර්දේශිත නයිට්‍රජන් පොහොර ප්‍රමාණය කොපමණද?,"වී සඳහා නිර්දේශිත නයිට්‍රජන් පොහොර ප්‍රමාණය බෝග වර්ධන අවධිය, පාංශුවල සාරවත් භාවය, සහ වගා ක්‍රමය අනුව වෙනස් වේ. සාමාන්‍යයෙන්, වී වගාවන් සඳහා අක්කරයකට නයිට්‍රජන් පොහොර කිලෝග්‍රෑම් 50 සිට 100 දක්වා (kg/ha) භාවිතා කරයි. මෙය බෝග වර්ධන අවධීන් අනුව කොටස් කර යොදයි. උදාහරණයක් ලෙස, පැළ සිටුවීමේදී 30%, කඳ වැඩීමේදී 40%, සහ ධාන්‍ය පිරවීමේදී 30% ලෙස නයිට්‍රජන් පොහොර යෙදිය හැකිය. නයිට්‍රජන් පොහොර අධික ලෙස යෙදීමෙන් ශාක වල රෝග ප්‍රතිරෝධක ශක්තිය අඩු වීම සහ පාංශු දූෂණය වැනි ගැටලු ඇති විය හැකි බැවින්, නිවැරදි ප්‍රමාණයක් යෙදීම වැදගත්ය."
ධාන්‍ය පිරවීමේ අවධියේදී ජලය කළමනාකරණය කළ යුත්තේ කෙසේද?,"ධාන්‍ය පිරවීමේ අවධියේදී ජලය කළමනාකරණය කිරීම ඉතාමත් වැදගත්ය. මෙම අවධියේදී, කුඹුරුවල ජලය අඩු මට්ටමකින් පවත්වා ගැනීම (2-5 cm) වැදගත් වේ. මෙය ධාන්‍ය පිරවීම සහ පෝෂක ලබා ගැනීමේ හැකියාව වැඩි දියුණු කරයි. අධික ජලය ශාක වල මුල් වලට ඔක්සිජන් අඩු වීම (waterlogging) සහ රෝග පැතිරීමට හේතු විය හැකි බැවින්, ජලය අධික ලෙස රඳවා ගැනීම වළක්වා ගත යුතුය. ධාන්‍ය පිරවීමේ අවධිය අවසානයේදී, කුඹුරුවල ජලය ක්‍රමයෙන් අඩු කර, අස්වනු නෙලීමට පෙර කුඹුරු වියළි තත්ත්වයකට පත් කරයි. මෙමගින් ධාන්‍ය පිරීම සහ පොළොවෙන් අස්වැන්න නෙලීම පහසු කරයි."
සහතික කළ වී බීජ භාවිතයේ ඇති වාසි මොනවාද?,"සහතික කළ වී බීජ භාවිතයෙන් බොහෝ වාසි ලබා ගත හැකිය. පළමුව, සහතික කළ බීජ වල උසස් ගුණාත්මකභාවය සහ ප්‍රතිරෝධක ශක්තිය (රෝග සහ කෘමීන්ට එරෙහිව) ඇති බැවින්, අස්වැන්න වැඩි කර ගත හැකිය. දෙවනුව, මෙම බීජ වල අඩු රෝග සහ කෘමීන් ආසාදන අවධානමක් ඇති බැවින්, රසායනික ප්‍රතිකාර අවශ්‍යතාවය අඩු වේ. තෙවනුව, සහතික කළ බීජ වල නිශ්චිත වගා ලක්ෂණ (උදාහරණයක් ලෙස, කෙටි කාලීන වගා කාලය) ඇති බැවින්, ගොවීන්ට වගා කළමනාකරණය පහසු වේ. සිව්වනුව, මෙම බීජ වල උසස් පෝෂක අන්තර්ගතයක් ඇති බැවින්, ධාන්‍ය ගුණාත්මකභාවය වැඩි දියුණු වේ. මෙමගින් ගොවීන්ට ආර්ථික වශයෙන් සහ පාරිසරික වශයෙන් වාසි ලබා ගත හැකිය."
වී ගොවීන් පළිබෝධ උවදුර පාලනය කරන්නේ කෙසේද?,"කෘමීන් හා මයිටාවන් පාලනය සඳහා ඒකාබද්ධ පළිබෝධ කළමනා කරණ උපක්‍රම අනුගමනය කිරීම වඩා සාර්ථක ක්‍රමයයි. වී වගා පරිසරයේ සිටින හිතකර සතුන් මගින්, වී වගාවට හානිකරන කෘමින් ස්වභාවිකව පාලනය වීමට ඉඩ දිය යුතු වේ. මේ සඳහා හැකිතාක් දුරට රසායනික ද්‍රව්‍ය භාවිතය අවම කර අවසාන විසඳුම ලෙස පළිබෝධනාශක භාවිතා කළ යුතුය. කෘෂිකර්ම දෙපාර්තමේන්තුව විසින් පළිබෝධනාශක නිර්දේශය වරින් වර සංශෝධනයට ලක්කිරීමේදී බොහෝ විට අලුතින් නිර්දේශ වන කෘමිනාශක පැරණි ඒවාට වඩා හානිකර ලක්ෂණ අඩු බැවින් පවතින අලුත්ම නිර්දේශය භාවිතා කිරීම සුදුසුය."
වී බෝග වර්ධනයේ ප්‍රධාන අවධීන් මොනවාද?,"""වී බෝග වර්ධනයේ ප්‍රධාන අවධීන් හතරකි: 1.පැළ වර්ධන අවධිය (Vegetative Stage): මෙම අවධියේදී ශාක කඳ සහ කොළ වර්ධනය වේ. 2.මල් අවධිය (Reproductive Stage): මෙම අවධියේදී ශාක මල් ඇති වී, පරාගනය සිදු වේ. 3.ධාන්‍ය පිරවීමේ අවධිය (Grain Filling Stage): මෙම අවධියේදී ධාන්‍ය පිරීම සහ පෝෂක ගබඩා කිරීම සිදු වේ. 4.පරිණත අවධිය (Maturity Stage): මෙම අවධියේදී ධාන්‍ය පරිණත වී, අස්වනු නෙලීමට සූදානම් වේ. මෙම අවධීන් අනුව නිවැරදි කළමනාකරණ ක්‍රම (උදාහරණයක් ලෙස, පොහොර, ජලය, සහ පළිබෝධ පාලනය) භාවිතා කිරීමෙන් වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න වැඩි කර ගත හැකිය."""
ගංවතුර වී වගාවට බලපාන්නේ කෙසේද?,"ගංවතුර වී වගාවන්ට බරපතල බලපෑම් ඇති කරයි. ගංවතුරෙන් පසු ශාක වල මුල් වලට ඔක්සිජන් අඩු වීම (waterlogging) සිදු වේ, එමගින් ශාක වල වර්ධනය අඩාල වේ. මීට අමතරව, ගංවතුර නිසා පාංශුවල පෝෂක ගබඩා කිරීමේ හැකියාව අඩු වී, ශාක වලට පෝෂක ලබා ගැනීමේ හැකියාව අඩු වේ. ගංවතුර නිසා කෘමීන් සහ රෝග පැතිරීමේ අවධානම වැඩි වේ, එමගින් වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න අඩු වේ. ගංවතුරෙන්ප සු, කුඹුරුවල ජලය ක්‍රමයෙන් ඉවත් කිරීම සහ පාංශුවල සෞඛ්‍යය වැඩි දියුණු කිරීම වැදගත්ය."
ගංවතුර නිසා වී ගොවතැනට ඇති වන අහිතකර බලපෑම් මොනවාද?,"ගංවතුර වී වගාවන්ට බරපතල බලපෑම් ඇති කරයි. ගංවතුරෙන් පසු ශාක වල මුල් වලට ඔක්සිජන් අඩු වීම (waterlogging) සිදු වේ, එමගින් ශාක වල වර්ධනය අඩාල වේ. මීට අමතරව, ගංවතුර නිසා පාංශුවල පෝෂක ගබඩා කිරීමේ හැකියාව අඩු වී, ශාක වලට පෝෂක ලබා ගැනීමේ හැකියාව අඩු වේ. ගංවතුර නිසා කෘමීන් සහ රෝග පැතිරීමේ අවධානම වැඩි වේ, එමගින් වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න අඩු වේ. ගංවතුරෙන්ප සු, කුඹුරුවල ජලය ක්‍රමයෙන් ඉවත් කිරීම සහ පාංශුවල සෞඛ්‍යය වැඩි දියුණු කිරීම වැදගත්ය."
ගංවතුර නිසා වී ගොවතැනට සිදු වන හානි මොනවාද?,"ගංවතුර වී වගාවන්ට බරපතල බලපෑම් ඇති කරයි. ගංවතුරෙන් පසු ශාක වල මුල් වලට ඔක්සිජන් අඩු වීම (waterlogging) සිදු වේ, එමගින් ශාක වල වර්ධනය අඩාල වේ. මීට අමතරව, ගංවතුර නිසා පාංශුවල පෝෂක ගබඩා කිරීමේ හැකියාව අඩු වී, ශාක වලට පෝෂක ලබා ගැනීමේ හැකියාව අඩු වේ. ගංවතුර නිසා කෘමීන් සහ රෝග පැතිරීමේ අවධානම වැඩි වේ, එමගින් වගාවන්ගේ ඵලදායීතාවය සහ අස්වැන්න අඩු වේ. ගංවතුරෙන්ප සු, කුඹුරුවල ජලය ක්‍රමයෙන් ඉවත් කිරීම සහ පාංශුවල සෞඛ්‍යය වැඩි දියුණු කිරීම වැදගත්ය."
වැඩි වශයෙන් ගංවතුර අවදානමට ලක් වන්නේ කුමන ප්‍රදේශද?,"පහතරට තෙත් කලාපයේ කළුතර, ගාල්ල, මාතර, ගම්පහ, කොළඹ, රත්නපුර සහ කෑගල්ල යන දිස්ත්‍රික්ක වල කුඹුරු ගං වතුර තත්ත්වයට නිරතුරුවම පාත්‍රි වන අතර අධික වර්ෂාව නිසා වියළි හා අතරමැදි කලාපයේ පහත් බිම් වල කුඹුරු ද ජලයෙන් යටවන අවස්ථා ඇත."
ගංවතුරෙන් වී වගාව සම්පූර්ණයෙන් විනාශ වුවහොත් ගත හැකි පිළියම් මොනවාද?,"ගං වතුර නිසා භෝගය සම්පූර්ණයෙන් විනාශ වී ඇත්නම් සහ කන්නය සම්පූර්ණ කිරීමට ප්‍රමාණවත් කාලයක් ඉතිරි වී ඇත්නම් දින 80 -85 හෝ මාස 3 හි කෙටි කාලීන වී ප්‍රභේදයක් යොදාගෙන නැවතත් වගාව පිහිටුවිය හැක."
ගංවතුරට ඔරොත්තු දෙන වී ප්‍රභේද මොනවාද?,"ගං වතුරට ඔරොත්තු දෙන Bg 455, ප්‍රභා අවධි සංවේදී Bg 38, Bg 3-5, පාරම්පරික මාවී සහ හොඬරවාලු වැනි ප්‍රභේද ගං වතුරට පාත්‍ර වන කුඹුරු සඳහා වඩාත් සුදුසුය"
නිතර ගංවතුරට හසුවන කුඹුරු වල වගා කරන්නේ කෙසේද?,"ගං වතුරට පාත්‍ර වන කුඹුරු සඳහා බිම් සැකසීමේදී කොම්පෝස්ට් යෙදීමෙන් පැළවල දිරිය වැඩිකරගත හැක. වැපිරීම වෙනුවට පැළ සිටුවීම හෝ පැළ වැපිරීම සිදු කළ හැකිය. හොඳින් වැඩුණු සහ උස පෘෂ්ඨිමත් තවාන් පැළ වගාවට යොදා ගත යුතුය. ගං වතුරට ඔරොත්තු දෙන Bg 455, ප්‍රභා අවධි සංවේදී Bg 38, Bg 3-5, පාරම්පරික මාවී සහ හොඬරවාලු වැනි ප්‍රභේද මෙම ප්‍රදේශ සඳහා උචිත වේ."
ගංවතුරට යට වන ප්‍රදේශ වල ගොවිතැන් කරන්නේ කෙසේද?,"ගං වතුරට පාත්‍ර වන කුඹුරු සඳහා බිම් සැකසීමේදී කොම්පෝස්ට් යෙදීමෙන් පැළවල දිරිය වැඩිකරගත හැක. වැපිරීම වෙනුවට පැළ සිටුවීම හෝ පැළ වැපිරීම සිදු කළ හැකිය. හොඳින් වැඩුණු සහ උස පෘෂ්ඨිමත් තවාන් පැළ වගාවට යොදා ගත යුතුය. ගං වතුරට ඔරොත්තු දෙන Bg 455, ප්‍රභා අවධි සංවේදී Bg 38, Bg 3-5, පාරම්පරික මාවී සහ හොඬරවාලු වැනි ප්‍රභේද මෙම ප්‍රදේශ සඳහා උචිත වේ."
කුඹුරු ගංවතුරෙන් ආරක්ෂා කර ගැනීමට ගත යුතු පූර්ව ක්‍රියාමාර්ග මොනවාද?,"ගං වතුරට පාත්‍ර වන කුඹුරු සඳහා බිම් සැකසීමේදී කොම්පෝස්ට් යෙදීමෙන් පැළවල දිරිය වැඩිකරගත හැක. වැපිරීම වෙනුවට පැළ සිටුවීම හෝ පැළ වැපිරීම සිදු කළ හැකිය. හොඳින් වැඩුණු සහ උස පෘෂ්ඨිමත් තවාන් පැළ වගාවට යොදා ගත යුතුය. ගං වතුරට ඔරොත්තු දෙන Bg 455, ප්‍රභා අවධි සංවේදී Bg 38, Bg 3-5, පාරම්පරික මාවී සහ හොඬරවාලු වැනි ප්‍රභේද මෙම ප්‍රදේශ සඳහා උචිත වේ."
ගංවතුර සඳහා පිළියම් මොනවාද?,"ගං වතුරට පාත්‍ර වන කුඹුරු සඳහා බිම් සැකසීමේදී කොම්පෝස්ට් යෙදීමෙන් පැළවල දිරිය වැඩිකරගත හැක. වැපිරීම වෙනුවට පැළ සිටුවීම හෝ පැළ වැපිරීම සිදු කළ හැකිය. හොඳින් වැඩුණු සහ උස පෘෂ්ඨිමත් තවාන් පැළ වගාවට යොදා ගත යුතුය. ගං වතුරට ඔරොත්තු දෙන Bg 455, ප්‍රභා අවධි සංවේදී Bg 38, Bg 3-5, පාරම්පරික මාවී සහ හොඬරවාලු වැනි ප්‍රභේද මෙම ප්‍රදේශ සඳහා උචිත වේ. ගං වතුර නිසා භෝගය සම්පූර්ණයෙන් විනාශ වී ඇත්නම් සහ කන්නය සම්පූර්ණ කිරීමට ප්‍රමාණවත් කාලයක් ඉතිරි වී ඇත්නම් දින 80 -85 හෝ මාස 3 හි කෙටි කාලීන වී ප්‍රභේදයක් යොදාගෙන නැවතත් වගාව පිහිටුවිය හැක. ගං වතුරකදී, කුඹුරේ රොන් මඩ සමඟ බොහෝ පෝෂක තැන්පත් විය හැක. එබැවින් නයිට්‍රජන් පොහොර යෙදීමේදී පත්‍ර වර්ණ දර්ශකය යොදාගෙන පොහොර යෙදීම වඩාත් සුදුසුය. භෝග අස්වැන්න නෙළීමට ආසන්න තත්ත්වයේ තිබියදී ගං වතුරට අසු වූයේ නම් කුඹුරේ ජලය බැස ගිය වහාම හැකි ඉක්මණින් අස්වැන්න නෙලා වේලා ගැනීමෙන් අස්වනු හානිය අවම කර ගත හැක."
ගංවතුරට හසු වූ කුඹුරු සඳහා පිළියම් මොනවාද?,"ගං වතුරකදී, කුඹුරේ රොන් මඩ සමඟ බොහෝ පෝෂක තැන්පත් විය හැක. එබැවින් නයිට්‍රජන් පොහොර යෙදීමේදී පත්‍ර වර්ණ දර්ශකය යොදාගෙන පොහොර යෙදීම වඩාත් සුදුසුය. භෝග අස්වැන්න නෙළීමට ආසන්න තත්ත්වයේ තිබියදී ගං වතුරට අසු වූයේ නම් කුඹුරේ ජලය බැස ගිය වහාම හැකි ඉක්මණින් අස්වැන්න නෙලා වේලා ගැනීමෙන් අස්වනු හානිය අවම කර ගත හැක."
ගංවතුරෙන් කුඹුරේ පෝෂක මට්ටම වෙනස් වන්නේ කෙසේද?,"ගං වතුරකදී, කුඹුරේ රොන් මඩ සමඟ බොහෝ පෝෂක තැන්පත් විය හැක. එබැවින් නයිට්‍රජන් පොහොර යෙදීමේදී පත්‍ර වර්ණ දර්ශකය යොදාගෙන පොහොර යෙදීම වඩාත් සුදුසුය."
වී වගාව සදහා ප්‍රශස්ථ උෂ්ණත්වය කොපමණද?,"වී වගාව සදහා ප්‍රශස්ථ උෂ්ණත්වය සෙල්සියස් අංශක 25-32 ත් අතර වේ. විවිධ වර්ධක අවධි වලදී උෂ්ණත්වයේ බලපෑම විවිධ වන අතර මල් පිපෙන කාලයේ පවතින අධික උෂ්ණත්වය හෝ අධික ශීතල අස්වැන්න අඩු වීම කෙරෙහි වැඩි බලපෑමක් ඇති කරයි."
වී වගාව සදහා සුදුසු උෂ්ණත්වය කොපමණද?,"වී වගාව සදහා ප්‍රශස්ථ උෂ්ණත්වය සෙල්සියස් අංශක 25-32 ත් අතර වේ. විවිධ වර්ධක අවධි වලදී උෂ්ණත්වයේ බලපෑම විවිධ වන අතර මල් පිපෙන කාලයේ පවතින අධික උෂ්ණත්වය හෝ අධික ශීතල අස්වැන්න අඩු වීම කෙරෙහි වැඩි බලපෑමක් ඇති කරයි."
